seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,chainWM,1.4,0.0001,0.2,0,,,1,16.47821427323047,0,extinction,0,0
1,chainWM,1.4,0.0001,0.2,0,,,1,18.762310299980726,0,extinction,0,0
2,chainWM,1.4,0.0001,0.2,0,,,1,14.050884842768907,0,extinction,0,0
3,chainWM,1.4,0.0001,0.2,0,,,1,16.493754960781924,0,extinction,0,1
4,chainWM,1.4,0.0001,0.2,0,,,1,10.638392477100398,0,extinction,0,0
5,chainWM,1.4,0.0001,0.2,1,2.243749225738311,edge,0,,399,rescue,0,1
6,chainWM,1.4,0.0001,0.2,0,,,1,15.053231625850259,0,extinction,0,0
7,chainWM,1.4,0.0001,0.2,0,,,1,16.88890785934525,0,extinction,0,0
8,chainWM,1.4,0.0001,0.2,0,,,1,13.908653539059092,0,extinction,0,0
9,chainWM,1.4,0.0001,0.2,1,3.727690101843493,edge,0,,285,rescue,0,1
10,chainWM,1.4,0.0001,0.2,0,,,1,21.08848252361991,0,extinction,0,0
11,chainWM,1.4,0.0001,0.2,0,,,1,19.341844477902917,0,extinction,0,1
12,chainWM,1.4,0.0001,0.2,0,,,1,15.127388167957674,0,extinction,0,2
13,chainWM,1.4,0.0001,0.2,0,,,1,16.62038275602651,0,extinction,0,0
14,chainWM,1.4,0.0001,0.2,0,,,1,16.44870190379757,0,extinction,0,0
15,chainWM,1.4,0.0001,0.2,0,,,1,14.087969396046129,0,extinction,0,0
16,chainWM,1.4,0.0001,0.2,0,,,1,13.734263768555417,0,extinction,0,0
17,chainWM,1.4,0.0001,0.2,1,8.611258082210776,edge,0,,40,rescue,0,1
18,chainWM,1.4,0.0001,0.2,1,17.723417662453574,edge,0,,16,rescue,0,1
19,chainWM,1.4,0.0001,0.2,0,,,1,17.126282126553658,0,extinction,0,0
20,chainWM,1.4,0.0001,0.2,0,,,1,15.258387850614003,0,extinction,0,1
