seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,wellMixed,2.3,0.0001,,0,,,1,4.486761162046662,0,extinction,0,0
1,wellMixed,2.3,0.0001,,0,,,1,4.550166997941986,0,extinction,0,0
2,wellMixed,2.3,0.0001,,0,,,1,5.30133982462401,0,extinction,0,0
3,wellMixed,2.3,0.0001,,0,,,1,5.453877650145804,0,extinction,0,0
4,wellMixed,2.3,0.0001,,0,,,1,4.672916071478147,0,extinction,0,0
5,wellMixed,2.3,0.0001,,0,,,1,4.914046683246339,0,extinction,0,1
6,wellMixed,2.3,0.0001,,0,,,1,5.411066101164447,0,extinction,0,0
7,wellMixed,2.3,0.0001,,0,,,1,6.779303803102691,0,extinction,0,0
8,wellMixed,2.3,0.0001,,0,,,1,4.213306178382599,0,extinction,0,0
9,wellMixed,2.3,0.0001,,0,,,1,7.300408117339985,0,extinction,0,0
10,wellMixed,2.3,0.0001,,0,,,1,4.597174034044167,0,extinction,0,0
11,wellMixed,2.3,0.0001,,0,,,1,4.872536417993249,0,extinction,0,0
12,wellMixed,2.3,0.0001,,0,,,1,5.644757694630461,0,extinction,0,1
13,wellMixed,2.3,0.0001,,0,,,1,4.614784651881768,0,extinction,0,0
14,wellMixed,2.3,0.0001,,0,,,1,4.764448200699006,0,extinction,0,0
15,wellMixed,2.3,0.0001,,0,,,1,4.732361889362956,0,extinction,0,0
16,wellMixed,2.3,0.0001,,0,,,1,4.544217676941602,0,extinction,0,0
17,wellMixed,2.3,0.0001,,0,,,1,5.192816559014888,0,extinction,0,0
18,wellMixed,2.3,0.0001,,0,,,1,5.289745003060159,0,extinction,0,0
19,wellMixed,2.3,0.0001,,0,,,1,5.1065477504403,0,extinction,0,0
20,wellMixed,2.3,0.0001,,0,,,1,4.986921434544209,0,extinction,0,0
21,wellMixed,2.3,0.0001,,0,,,1,5.398568199660181,0,extinction,0,0
22,wellMixed,2.3,0.0001,,0,,,1,6.625919233267764,0,extinction,0,0
23,wellMixed,2.3,0.0001,,0,,,1,4.832791296919793,0,extinction,0,0
24,wellMixed,2.3,0.0001,,0,,,1,6.784619638651479,0,extinction,0,0
25,wellMixed,2.3,0.0001,,0,,,1,6.621393113187437,0,extinction,0,0
26,wellMixed,2.3,0.0001,,0,,,1,6.9878160657866015,0,extinction,0,1
27,wellMixed,2.3,0.0001,,0,,,1,8.496637912088444,0,extinction,0,0
28,wellMixed,2.3,0.0001,,0,,,1,5.79272795363293,0,extinction,0,0
29,wellMixed,2.3,0.0001,,0,,,1,4.914580199325001,0,extinction,0,0
30,wellMixed,2.3,0.0001,,0,,,1,4.361242165297353,0,extinction,0,0
31,wellMixed,2.3,0.0001,,0,,,1,5.812490022462997,0,extinction,0,0
32,wellMixed,2.3,0.0001,,0,,,1,5.784565849549613,0,extinction,0,0
33,wellMixed,2.3,0.0001,,0,,,1,3.9439502708749132,0,extinction,0,1
34,wellMixed,2.3,0.0001,,0,,,1,5.2445630129708665,0,extinction,0,0
35,wellMixed,2.3,0.0001,,0,,,1,4.080824359005695,0,extinction,0,0
36,wellMixed,2.3,0.0001,,0,,,1,4.55420150419188,0,extinction,0,0
37,wellMixed,2.3,0.0001,,0,,,1,4.9394577792718035,0,extinction,0,0
38,wellMixed,2.3,0.0001,,0,,,1,5.434418718500569,0,extinction,0,0
39,wellMixed,2.3,0.0001,,0,,,1,4.36126481084901,0,extinction,0,0
40,wellMixed,2.3,0.0001,,0,,,1,5.808904484970308,0,extinction,0,0
41,wellMixed,2.3,0.0001,,0,,,1,4.656125654045271,0,extinction,0,0
42,wellMixed,2.3,0.0001,,0,,,1,5.437053475442759,0,extinction,0,0
43,wellMixed,2.3,0.0001,,0,,,1,4.693828221997348,0,extinction,0,0
44,wellMixed,2.3,0.0001,,0,,,1,4.636382476339615,0,extinction,0,0
45,wellMixed,2.3,0.0001,,0,,,1,4.105338598776418,0,extinction,0,0
46,wellMixed,2.3,0.0001,,0,,,1,6.15628611310211,0,extinction,0,0
47,wellMixed,2.3,0.0001,,1,5.695052724918817,,0,,10,rescue,0,1
48,wellMixed,2.3,0.0001,,0,,,1,7.046623595159836,0,extinction,0,0
49,wellMixed,2.3,0.0001,,0,,,1,6.805219733963736,0,extinction,0,0
50,wellMixed,2.3,0.0001,,0,,,1,5.342530260773618,0,extinction,0,0
51,wellMixed,2.3,0.0001,,0,,,1,5.694342296627298,0,extinction,0,0
52,wellMixed,2.3,0.0001,,0,,,1,4.390302296172197,0,extinction,0,0
53,wellMixed,2.3,0.0001,,1,3.0301306385574436,,0,,25,rescue,0,1
54,wellMixed,2.3,0.0001,,0,,,1,6.644412456360708,0,extinction,0,0
55,wellMixed,2.3,0.0001,,0,,,1,5.584877194719742,0,extinction,0,0
56,wellMixed,2.3,0.0001,,0,,,1,5.385136630197479,0,extinction,0,0
57,wellMixed,2.3,0.0001,,1,3.699017312077569,,0,,14,rescue,0,1
58,wellMixed,2.3,0.0001,,0,,,1,5.898588609287211,0,extinction,0,0
59,wellMixed,2.3,0.0001,,0,,,1,4.901405307169706,0,extinction,0,0
60,wellMixed,2.3,0.0001,,0,,,1,4.175429392949572,0,extinction,0,0
61,wellMixed,2.3,0.0001,,0,,,1,4.767448930352765,0,extinction,0,0
62,wellMixed,2.3,0.0001,,0,,,1,3.990024590748531,0,extinction,0,0
