seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,wellMixed,1.2,0.0001,,0,,,1,30.2033903110462,0,extinction,0,0
1,wellMixed,1.2,0.0001,,1,2.219505229641239,,0,,672,rescue,0,1
2,wellMixed,1.2,0.0001,,0,,,1,39.31455710473885,0,extinction,0,0
3,wellMixed,1.2,0.0001,,1,5.772626219663912,,0,,254,rescue,0,1
4,wellMixed,1.2,0.0001,,0,,,1,24.31403643469977,0,extinction,0,0
5,wellMixed,1.2,0.0001,,0,,,1,19.88351253967448,0,extinction,0,1
6,wellMixed,1.2,0.0001,,0,,,1,24.57107092145485,0,extinction,0,0
7,wellMixed,1.2,0.0001,,0,,,1,20.522311745736452,0,extinction,0,0
8,wellMixed,1.2,0.0001,,0,,,1,24.602440571620136,0,extinction,0,0
9,wellMixed,1.2,0.0001,,0,,,1,23.37256417761183,0,extinction,0,0
10,wellMixed,1.2,0.0001,,1,17.478714203588133,,0,,76,rescue,0,1
11,wellMixed,1.2,0.0001,,0,,,1,35.269318998057074,0,extinction,0,0
12,wellMixed,1.2,0.0001,,0,,,1,25.35303278685834,0,extinction,0,1
13,wellMixed,1.2,0.0001,,0,,,1,34.084391370535165,0,extinction,0,1
14,wellMixed,1.2,0.0001,,1,9.802580016340356,,0,,181,rescue,0,2
15,wellMixed,1.2,0.0001,,0,,,1,22.604343341795833,0,extinction,0,0
16,wellMixed,1.2,0.0001,,0,,,1,25.156952548196507,0,extinction,0,0
17,wellMixed,1.2,0.0001,,0,,,1,32.979732792452964,0,extinction,0,2
18,wellMixed,1.2,0.0001,,0,,,1,33.818519960196475,0,extinction,0,1
19,wellMixed,1.2,0.0001,,0,,,1,34.017927731044026,0,extinction,0,0
20,wellMixed,1.2,0.0001,,1,6.277031728304524,,0,,264,rescue,0,1
21,wellMixed,1.2,0.0001,,0,,,1,20.969810029277074,0,extinction,0,0
