seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,wellMixed,1.05,0.0001,,0,,,1,100.52363774505017,0,extinction,0,1
1,wellMixed,1.05,0.0001,,1,9.64989671539502,,0,,712,rescue,0,3
2,wellMixed,1.05,0.0001,,1,17.210784583464896,,0,,428,rescue,0,2
3,wellMixed,1.05,0.0001,,1,3.7441540638413793,,0,,743,rescue,0,2
4,wellMixed,1.05,0.0001,,1,10.662150500193041,,0,,546,rescue,0,1
5,wellMixed,1.05,0.0001,,1,6.712935487429894,,0,,769,rescue,0,2
6,wellMixed,1.05,0.0001,,0,,,1,127.81268238933383,0,extinction,0,0
7,wellMixed,1.05,0.0001,,0,,,1,65.86982931121669,0,extinction,0,0
8,wellMixed,1.05,0.0001,,1,22.209459229483258,,0,,227,rescue,0,3
9,wellMixed,1.05,0.0001,,1,21.149466846389057,,0,,335,rescue,0,1
10,wellMixed,1.05,0.0001,,1,7.1903393283185055,,0,,874,rescue,0,1
11,wellMixed,1.05,0.0001,,0,,,1,88.9438296543732,0,extinction,0,0
12,wellMixed,1.05,0.0001,,0,,,1,76.53443693024929,0,extinction,0,1
13,wellMixed,1.05,0.0001,,1,8.097529259185064,,0,,844,rescue,0,1
14,wellMixed,1.05,0.0001,,0,,,1,65.86896174723464,0,extinction,0,2
15,wellMixed,1.05,0.0001,,0,,,1,93.90675512384551,0,extinction,0,3
16,wellMixed,1.05,0.0001,,0,,,1,67.91208911574974,0,extinction,0,0
17,wellMixed,1.05,0.0001,,1,8.89283540851974,,0,,891,rescue,0,2
18,wellMixed,1.05,0.0001,,0,,,1,81.48627505918358,0,extinction,0,2
19,wellMixed,1.05,0.0001,,1,12.967566715072916,,0,,430,rescue,0,2
20,wellMixed,1.05,0.0001,,1,9.091813518136895,,0,,661,rescue,0,1
21,wellMixed,1.05,0.0001,,0,,,1,79.22316484958743,0,extinction,0,0
22,wellMixed,1.05,0.0001,,1,35.02597898625424,,0,,132,rescue,0,2
23,wellMixed,1.05,0.0001,,1,8.301248085189517,,0,,811,rescue,0,2
24,wellMixed,1.05,0.0001,,0,,,1,99.00472114306703,0,extinction,0,0
25,wellMixed,1.05,0.0001,,0,,,1,78.88739412277319,0,extinction,0,2
26,wellMixed,1.05,0.0001,,0,,,1,97.28265506928106,0,extinction,0,1
27,wellMixed,1.05,0.0001,,1,18.908835193371505,,0,,332,rescue,0,1
28,wellMixed,1.05,0.0001,,1,32.968433319936395,,0,,101,rescue,0,1
29,wellMixed,1.05,0.0001,,1,14.969267308606645,,0,,587,rescue,0,2
30,wellMixed,1.05,0.0001,,0,,,1,69.90051616222773,0,extinction,0,0
31,wellMixed,1.05,0.0001,,1,14.039609775118542,,0,,469,rescue,0,1
32,wellMixed,1.05,0.0001,,0,,,1,90.29470309988437,0,extinction,0,1
33,wellMixed,1.05,0.0001,,0,,,1,80.04746071009603,0,extinction,0,1
34,wellMixed,1.05,0.0001,,0,,,1,74.81524102488204,0,extinction,0,2
35,wellMixed,1.05,0.0001,,1,63.20333617516653,,0,,67,rescue,0,1
36,wellMixed,1.05,0.0001,,0,,,1,121.42491587545823,0,extinction,0,1
37,wellMixed,1.05,0.0001,,0,,,1,77.17722233588512,0,extinction,0,1
38,wellMixed,1.05,0.0001,,1,39.07788561855274,,0,,94,rescue,0,1
39,wellMixed,1.05,0.0001,,0,,,1,78.56039982155266,0,extinction,0,2
40,wellMixed,1.05,0.0001,,1,25.099739026107386,,0,,214,rescue,0,1
41,wellMixed,1.05,0.0001,,1,65.47869729300447,,0,,105,rescue,0,2
42,wellMixed,1.05,0.0001,,1,183.60011708895433,,0,,44,rescue,0,1
43,wellMixed,1.05,0.0001,,0,,,1,53.038719751375865,0,extinction,0,0
44,wellMixed,1.05,0.0001,,1,11.65190184139103,,0,,577,rescue,0,4
45,wellMixed,1.05,0.0001,,0,,,1,103.2228693656018,0,extinction,0,0
46,wellMixed,1.05,0.0001,,1,4.7225930893463195,,0,,832,rescue,0,1
47,wellMixed,1.05,0.0001,,0,,,1,74.18656443702118,0,extinction,0,0
48,wellMixed,1.05,0.0001,,1,8.612732091045745,,0,,509,rescue,0,1
49,wellMixed,1.05,0.0001,,0,,,1,89.94925165522973,0,extinction,0,2
50,wellMixed,1.05,0.0001,,1,11.244300440976968,,0,,559,rescue,0,1
51,wellMixed,1.05,0.0001,,1,15.913228525240322,,0,,480,rescue,0,1
52,wellMixed,1.05,0.0001,,0,,,1,67.84383266991694,0,extinction,0,1
53,wellMixed,1.05,0.0001,,1,104.08229871777012,,0,,13,rescue,0,3
54,wellMixed,1.05,0.0001,,1,13.053208435565711,,0,,547,rescue,0,2
55,wellMixed,1.05,0.0001,,0,,,1,82.54407040485356,0,extinction,0,1
56,wellMixed,1.05,0.0001,,1,26.2044994784544,,0,,291,rescue,0,2
57,wellMixed,1.05,0.0001,,0,,,1,71.0429455651175,0,extinction,0,0
58,wellMixed,1.05,0.0001,,0,,,1,86.09849479622531,0,extinction,0,1
59,wellMixed,1.05,0.0001,,0,,,1,59.92207435271318,0,extinction,0,2
60,wellMixed,1.05,0.0001,,1,9.722981677671392,,0,,415,rescue,0,2
61,wellMixed,1.05,0.0001,,1,5.908627300604092,,0,,719,rescue,0,1
62,wellMixed,1.05,0.0001,,0,,,1,72.7548596011223,0,extinction,0,1
63,wellMixed,1.05,0.0001,,1,12.417946319830802,,0,,543,rescue,0,1
64,wellMixed,1.05,0.0001,,0,,,1,99.96212400038482,0,extinction,0,1
65,wellMixed,1.05,0.0001,,0,,,1,126.78570318897485,0,extinction,0,3
66,wellMixed,1.05,0.0001,,0,,,1,93.57693875617989,0,extinction,0,2
67,wellMixed,1.05,0.0001,,0,,,1,77.20292534568141,0,extinction,0,1
68,wellMixed,1.05,0.0001,,0,,,1,80.81518567972996,0,extinction,0,1
69,wellMixed,1.05,0.0001,,1,13.008626548448472,,0,,431,rescue,0,2
70,wellMixed,1.05,0.0001,,1,43.989337222625736,,0,,105,rescue,0,1
71,wellMixed,1.05,0.0001,,0,,,1,133.82909168531995,0,extinction,0,0
72,wellMixed,1.05,0.0001,,1,56.04229808514936,,0,,47,rescue,0,2
73,wellMixed,1.05,0.0001,,1,22.46688370458332,,0,,396,rescue,0,3
74,wellMixed,1.05,0.0001,,1,50.81859929124658,,0,,38,rescue,0,2
75,wellMixed,1.05,0.0001,,1,3.78448510389517,,0,,852,rescue,0,2
76,wellMixed,1.05,0.0001,,1,4.3589962042658295,,0,,809,rescue,0,1
77,wellMixed,1.05,0.0001,,1,3.051021757737655,,0,,900,rescue,0,1
78,wellMixed,1.05,0.0001,,1,22.042693501302118,,0,,392,rescue,0,2
79,wellMixed,1.05,0.0001,,1,4.219614008921633,,0,,772,rescue,0,2
80,wellMixed,1.05,0.0001,,1,17.89444107650678,,0,,470,rescue,0,1
81,wellMixed,1.05,0.0001,,1,3.927033689287143,,0,,801,rescue,0,2
82,wellMixed,1.05,0.0001,,1,18.02315798158567,,0,,526,rescue,0,2
83,wellMixed,1.05,0.0001,,1,25.922185653884757,,0,,240,rescue,0,2
84,wellMixed,1.05,0.0001,,0,,,1,57.61549241340387,0,extinction,0,2
85,wellMixed,1.05,0.0001,,1,30.76444323859374,,0,,220,rescue,0,3
86,wellMixed,1.05,0.0001,,0,,,1,126.38752760835843,0,extinction,0,1
87,wellMixed,1.05,0.0001,,1,17.69260565555624,,0,,472,rescue,0,2
88,wellMixed,1.05,0.0001,,0,,,1,50.225857719733824,0,extinction,0,0
89,wellMixed,1.05,0.0001,,1,20.724049040499327,,0,,471,rescue,0,1
90,wellMixed,1.05,0.0001,,0,,,1,71.80086551008381,0,extinction,0,0
91,wellMixed,1.05,0.0001,,1,8.709925149699696,,0,,519,rescue,0,2
92,wellMixed,1.05,0.0001,,1,13.117448144429275,,0,,542,rescue,0,1
93,wellMixed,1.05,0.0001,,1,8.081010912447411,,0,,664,rescue,0,1
94,wellMixed,1.05,0.0001,,0,,,1,106.14114332923835,0,extinction,0,1
95,wellMixed,1.05,0.0001,,1,7.407337747902249,,0,,621,rescue,0,1
96,wellMixed,1.05,0.0001,,1,5.894946078529467,,0,,863,rescue,0,2
