seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,wellMixed,1.4,0.0001,,0,,,1,12.393996071236833,0,extinction,0,0
1,wellMixed,1.4,0.0001,,1,7.995733346243654,,0,,76,rescue,0,1
2,wellMixed,1.4,0.0001,,0,,,1,12.141865919693702,0,extinction,0,0
3,wellMixed,1.4,0.0001,,1,7.349020497144793,,0,,28,rescue,0,1
4,wellMixed,1.4,0.0001,,0,,,1,20.368166533255785,0,extinction,0,0
5,wellMixed,1.4,0.0001,,1,2.1403387062824644,,0,,426,rescue,0,1
6,wellMixed,1.4,0.0001,,0,,,1,21.284126569295942,0,extinction,0,0
7,wellMixed,1.4,0.0001,,0,,,1,17.34240603605119,0,extinction,0,0
8,wellMixed,1.4,0.0001,,0,,,1,18.067768412907174,0,extinction,0,0
9,wellMixed,1.4,0.0001,,0,,,1,14.515869618595096,0,extinction,0,0
10,wellMixed,1.4,0.0001,,0,,,1,14.554144836664882,0,extinction,0,0
11,wellMixed,1.4,0.0001,,0,,,1,16.839923839613654,0,extinction,0,0
12,wellMixed,1.4,0.0001,,0,,,1,14.869666965690007,0,extinction,0,1
13,wellMixed,1.4,0.0001,,0,,,1,14.613622280476001,0,extinction,0,0
14,wellMixed,1.4,0.0001,,1,5.690298620340186,,0,,137,rescue,0,1
15,wellMixed,1.4,0.0001,,0,,,1,11.774140092820618,0,extinction,0,0
16,wellMixed,1.4,0.0001,,0,,,1,14.472172536584722,0,extinction,0,0
17,wellMixed,1.4,0.0001,,0,,,1,15.849022765103363,0,extinction,0,0
18,wellMixed,1.4,0.0001,,0,,,1,18.031361260338755,0,extinction,0,0
19,wellMixed,1.4,0.0001,,0,,,1,12.003210881838479,0,extinction,0,0
20,wellMixed,1.4,0.0001,,1,10.299912132701978,,0,,30,rescue,0,1
21,wellMixed,1.4,0.0001,,0,,,1,11.692515629980415,0,extinction,0,0
22,wellMixed,1.4,0.0001,,0,,,1,20.843526139346043,0,extinction,0,0
