seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,chainWM,1.6,0.0001,0.2,0,,,1,8.897020810454714,0,extinction,0,0
1,chainWM,1.6,0.0001,0.2,0,,,1,11.502395716453195,0,extinction,0,0
2,chainWM,1.6,0.0001,0.2,0,,,1,11.821452536498406,0,extinction,0,0
3,chainWM,1.6,0.0001,0.2,0,,,1,9.02018064121362,0,extinction,0,1
4,chainWM,1.6,0.0001,0.2,0,,,1,8.944259380262757,0,extinction,0,0
5,chainWM,1.6,0.0001,0.2,0,,,1,10.239963498585444,0,extinction,0,1
6,chainWM,1.6,0.0001,0.2,0,,,1,12.174350962948782,0,extinction,0,0
7,chainWM,1.6,0.0001,0.2,0,,,1,10.592704168521202,0,extinction,0,0
8,chainWM,1.6,0.0001,0.2,0,,,1,9.231315385673216,0,extinction,0,0
9,chainWM,1.6,0.0001,0.2,1,10.28187146067562,edge,0,,17,rescue,0,1
10,chainWM,1.6,0.0001,0.2,0,,,1,16.17772998561534,0,extinction,0,1
11,chainWM,1.6,0.0001,0.2,0,,,1,10.41765247619111,0,extinction,0,0
12,chainWM,1.6,0.0001,0.2,1,5.542162577846772,edge,0,,44,rescue,0,1
13,chainWM,1.6,0.0001,0.2,0,,,1,9.58480522214134,0,extinction,0,0
14,chainWM,1.6,0.0001,0.2,0,,,1,8.503900448172832,0,extinction,0,0
15,chainWM,1.6,0.0001,0.2,0,,,1,10.027978059712025,0,extinction,0,0
16,chainWM,1.6,0.0001,0.2,0,,,1,10.258411738416564,0,extinction,0,0
17,chainWM,1.6,0.0001,0.2,0,,,1,10.078282207754652,0,extinction,0,0
18,chainWM,1.6,0.0001,0.2,0,,,1,13.366227339535742,0,extinction,0,0
19,chainWM,1.6,0.0001,0.2,0,,,1,9.193315993044445,0,extinction,0,0
20,chainWM,1.6,0.0001,0.2,0,,,1,16.290878064813555,0,extinction,0,1
21,chainWM,1.6,0.0001,0.2,0,,,1,9.15565995104081,0,extinction,0,0
22,chainWM,1.6,0.0001,0.2,0,,,1,10.012419523269479,0,extinction,0,0
23,chainWM,1.6,0.0001,0.2,0,,,1,10.341230759402382,0,extinction,0,1
24,chainWM,1.6,0.0001,0.2,0,,,1,9.64642277929794,0,extinction,0,0
25,chainWM,1.6,0.0001,0.2,0,,,1,11.929519692460804,0,extinction,0,0
26,chainWM,1.6,0.0001,0.2,1,7.735052898323264,edge,0,,11,rescue,0,1
27,chainWM,1.6,0.0001,0.2,0,,,1,12.465706287808336,0,extinction,0,0
28,chainWM,1.6,0.0001,0.2,0,,,1,9.228987583038037,0,extinction,0,1
29,chainWM,1.6,0.0001,0.2,0,,,1,7.661404267759524,0,extinction,0,0
30,chainWM,1.6,0.0001,0.2,0,,,1,10.908534029738538,0,extinction,0,0
31,chainWM,1.6,0.0001,0.2,0,,,1,7.904225879452376,0,extinction,0,0
32,chainWM,1.6,0.0001,0.2,1,9.856384863709374,edge,0,,10,rescue,0,1
33,chainWM,1.6,0.0001,0.2,0,,,1,15.296301728143241,0,extinction,0,0
34,chainWM,1.6,0.0001,0.2,0,,,1,9.27976559138529,0,extinction,0,2
35,chainWM,1.6,0.0001,0.2,0,,,1,11.722995732360419,0,extinction,0,0
36,chainWM,1.6,0.0001,0.2,0,,,1,10.549574103716978,0,extinction,0,0
37,chainWM,1.6,0.0001,0.2,0,,,1,11.050387923725877,0,extinction,0,0
38,chainWM,1.6,0.0001,0.2,1,7.905166313873956,edge,0,,19,rescue,0,1
39,chainWM,1.6,0.0001,0.2,0,,,1,14.894384151116245,0,extinction,0,0
40,chainWM,1.6,0.0001,0.2,0,,,1,13.689055620662321,0,extinction,0,0
41,chainWM,1.6,0.0001,0.2,0,,,1,8.847403128235124,0,extinction,0,0
42,chainWM,1.6,0.0001,0.2,0,,,1,8.499412401390423,0,extinction,0,0
43,chainWM,1.6,0.0001,0.2,0,,,1,11.548914001426267,0,extinction,0,0
44,chainWM,1.6,0.0001,0.2,0,,,1,14.815529153957547,0,extinction,0,0
45,chainWM,1.6,0.0001,0.2,0,,,1,14.406942392999678,0,extinction,0,0
46,chainWM,1.6,0.0001,0.2,0,,,1,11.453762274204868,0,extinction,0,0
47,chainWM,1.6,0.0001,0.2,0,,,1,7.614228414113589,0,extinction,0,0
48,chainWM,1.6,0.0001,0.2,0,,,1,7.987321467975091,0,extinction,0,0
49,chainWM,1.6,0.0001,0.2,0,,,1,10.989781473143502,0,extinction,0,0
50,chainWM,1.6,0.0001,0.2,0,,,1,9.752162320186642,0,extinction,0,0
51,chainWM,1.6,0.0001,0.2,0,,,1,15.136243237457839,0,extinction,0,0
52,chainWM,1.6,0.0001,0.2,0,,,1,10.00033034062102,0,extinction,0,0
53,chainWM,1.6,0.0001,0.2,0,,,1,10.398238607903485,0,extinction,0,0
54,chainWM,1.6,0.0001,0.2,0,,,1,12.1059711003699,0,extinction,0,0
55,chainWM,1.6,0.0001,0.2,0,,,1,12.9640363331876,0,extinction,0,0
56,chainWM,1.6,0.0001,0.2,0,,,1,10.927821234903933,0,extinction,0,0
57,chainWM,1.6,0.0001,0.2,0,,,1,14.669723278987952,0,extinction,0,0
58,chainWM,1.6,0.0001,0.2,0,,,1,9.167124496946704,0,extinction,0,0
59,chainWM,1.6,0.0001,0.2,0,,,1,9.224263091397004,0,extinction,0,0
60,chainWM,1.6,0.0001,0.2,0,,,1,10.804153636836393,0,extinction,0,0
61,chainWM,1.6,0.0001,0.2,0,,,1,8.730573805517338,0,extinction,0,0
62,chainWM,1.6,0.0001,0.2,0,,,1,8.648355142101769,0,extinction,0,1
63,chainWM,1.6,0.0001,0.2,0,,,1,13.638193426657086,0,extinction,0,0
64,chainWM,1.6,0.0001,0.2,1,8.303430333412916,edge,0,,19,rescue,0,1
65,chainWM,1.6,0.0001,0.2,0,,,1,11.691296963217392,0,extinction,0,0
66,chainWM,1.6,0.0001,0.2,0,,,1,12.609420039847125,0,extinction,0,0
67,chainWM,1.6,0.0001,0.2,0,,,1,9.186916253547901,0,extinction,0,0
68,chainWM,1.6,0.0001,0.2,0,,,1,14.647875027599849,0,extinction,0,0
69,chainWM,1.6,0.0001,0.2,0,,,1,14.018034681362948,0,extinction,0,0
70,chainWM,1.6,0.0001,0.2,0,,,1,8.50140265167713,0,extinction,0,0
71,chainWM,1.6,0.0001,0.2,0,,,1,8.417765161538755,0,extinction,0,0
72,chainWM,1.6,0.0001,0.2,0,,,1,12.983075032279704,0,extinction,0,0
73,chainWM,1.6,0.0001,0.2,0,,,1,14.277880426630162,0,extinction,0,0
74,chainWM,1.6,0.0001,0.2,0,,,1,9.464391619647678,0,extinction,0,0
75,chainWM,1.6,0.0001,0.2,0,,,1,9.504841842854292,0,extinction,0,0
76,chainWM,1.6,0.0001,0.2,0,,,1,8.789424035924853,0,extinction,0,0
77,chainWM,1.6,0.0001,0.2,0,,,1,9.51797502843031,0,extinction,0,0
78,chainWM,1.6,0.0001,0.2,1,5.249799492959285,edge,0,,74,rescue,0,1
79,chainWM,1.6,0.0001,0.2,0,,,1,11.287436330597652,0,extinction,0,0
80,chainWM,1.6,0.0001,0.2,0,,,1,9.75305110256073,0,extinction,0,0
81,chainWM,1.6,0.0001,0.2,1,3.919684841772422,edge,0,,112,rescue,0,1
82,chainWM,1.6,0.0001,0.2,0,,,1,10.062783937902969,0,extinction,0,0
83,chainWM,1.6,0.0001,0.2,0,,,1,11.2495997871742,0,extinction,0,0
84,chainWM,1.6,0.0001,0.2,0,,,1,9.329870993579709,0,extinction,0,0
85,chainWM,1.6,0.0001,0.2,0,,,1,15.445348552820594,0,extinction,0,0
86,chainWM,1.6,0.0001,0.2,0,,,1,13.179676560305548,0,extinction,0,0
87,chainWM,1.6,0.0001,0.2,0,,,1,11.305649747301635,0,extinction,0,0
88,chainWM,1.6,0.0001,0.2,1,2.756184336183692,edge,0,,216,rescue,0,1
89,chainWM,1.6,0.0001,0.2,0,,,1,13.029364270422704,0,extinction,0,0
90,chainWM,1.6,0.0001,0.2,0,,,1,10.538637999985797,0,extinction,0,0
91,chainWM,1.6,0.0001,0.2,0,,,1,9.896670072696313,0,extinction,0,1
92,chainWM,1.6,0.0001,0.2,0,,,1,10.604575923500223,0,extinction,0,0
93,chainWM,1.6,0.0001,0.2,0,,,1,10.302983541665364,0,extinction,0,0
94,chainWM,1.6,0.0001,0.2,0,,,1,11.69930717677508,0,extinction,0,0
95,chainWM,1.6,0.0001,0.2,0,,,1,10.441096561236991,0,extinction,0,0
96,chainWM,1.6,0.0001,0.2,0,,,1,10.963434636750677,0,extinction,0,0
97,chainWM,1.6,0.0001,0.2,0,,,1,12.927026722566223,0,extinction,0,0
98,chainWM,1.6,0.0001,0.2,0,,,1,8.271964480640655,0,extinction,0,0
99,chainWM,1.6,0.0001,0.2,0,,,1,10.542944142806945,0,extinction,0,0
100,chainWM,1.6,0.0001,0.2,0,,,1,7.23377600021833,0,extinction,0,0
101,chainWM,1.6,0.0001,0.2,0,,,1,7.345569723654313,0,extinction,0,0
102,chainWM,1.6,0.0001,0.2,0,,,1,14.163197761388451,0,extinction,0,0
103,chainWM,1.6,0.0001,0.2,0,,,1,16.16043098697171,0,extinction,0,0
104,chainWM,1.6,0.0001,0.2,0,,,1,10.870220983648775,0,extinction,0,0
105,chainWM,1.6,0.0001,0.2,0,,,1,12.144855618799054,0,extinction,0,0
106,chainWM,1.6,0.0001,0.2,0,,,1,13.396123793981197,0,extinction,0,0
107,chainWM,1.6,0.0001,0.2,0,,,1,10.16775468761966,0,extinction,0,1
108,chainWM,1.6,0.0001,0.2,0,,,1,10.278685111340973,0,extinction,0,0
109,chainWM,1.6,0.0001,0.2,0,,,1,16.350549042304152,0,extinction,0,0
110,chainWM,1.6,0.0001,0.2,0,,,1,7.667231680016682,0,extinction,0,0
111,chainWM,1.6,0.0001,0.2,0,,,1,11.467969209629869,0,extinction,0,0
112,chainWM,1.6,0.0001,0.2,1,7.890448019625787,edge,0,,24,rescue,0,1
113,chainWM,1.6,0.0001,0.2,0,,,1,8.850592080058352,0,extinction,0,0
114,chainWM,1.6,0.0001,0.2,1,7.963419686676594,edge,0,,15,rescue,0,1
115,chainWM,1.6,0.0001,0.2,0,,,1,9.223814402882786,0,extinction,0,0
116,chainWM,1.6,0.0001,0.2,0,,,1,13.279620027775517,0,extinction,0,0
117,chainWM,1.6,0.0001,0.2,0,,,1,10.91614414011168,0,extinction,0,0
118,chainWM,1.6,0.0001,0.2,0,,,1,9.908210378699307,0,extinction,0,0
119,chainWM,1.6,0.0001,0.2,0,,,1,9.067480647252784,0,extinction,0,0
120,chainWM,1.6,0.0001,0.2,0,,,1,12.994285374236261,0,extinction,0,0
121,chainWM,1.6,0.0001,0.2,0,,,1,10.571139206877083,0,extinction,0,0
122,chainWM,1.6,0.0001,0.2,0,,,1,10.11971384663328,0,extinction,0,0
123,chainWM,1.6,0.0001,0.2,0,,,1,12.009474252419114,0,extinction,0,0
124,chainWM,1.6,0.0001,0.2,0,,,1,9.180898820882591,0,extinction,0,0
125,chainWM,1.6,0.0001,0.2,0,,,1,11.070649285867939,0,extinction,0,0
126,chainWM,1.6,0.0001,0.2,0,,,1,8.696578597864146,0,extinction,0,0
127,chainWM,1.6,0.0001,0.2,0,,,1,10.053335777855072,0,extinction,0,0
128,chainWM,1.6,0.0001,0.2,0,,,1,8.78609044126338,0,extinction,0,0
129,chainWM,1.6,0.0001,0.2,0,,,1,9.37136286976158,0,extinction,0,0
130,chainWM,1.6,0.0001,0.2,1,2.959736054096843,edge,0,,141,rescue,0,1
131,chainWM,1.6,0.0001,0.2,0,,,1,13.36962682189273,0,extinction,0,0
132,chainWM,1.6,0.0001,0.2,0,,,1,9.795389637423575,0,extinction,0,0
133,chainWM,1.6,0.0001,0.2,0,,,1,9.836852146278895,0,extinction,0,0
134,chainWM,1.6,0.0001,0.2,0,,,1,9.883337328462542,0,extinction,0,1
135,chainWM,1.6,0.0001,0.2,0,,,1,12.801111480372589,0,extinction,0,0
136,chainWM,1.6,0.0001,0.2,0,,,1,9.159070371629776,0,extinction,0,0
137,chainWM,1.6,0.0001,0.2,0,,,1,10.30314592712384,0,extinction,0,0
138,chainWM,1.6,0.0001,0.2,0,,,1,10.343027839628661,0,extinction,0,0
139,chainWM,1.6,0.0001,0.2,0,,,1,10.796724137343674,0,extinction,0,0
140,chainWM,1.6,0.0001,0.2,0,,,1,8.775960823557712,0,extinction,0,0
141,chainWM,1.6,0.0001,0.2,0,,,1,9.535117085565242,0,extinction,0,1
142,chainWM,1.6,0.0001,0.2,0,,,1,11.857148368998097,0,extinction,0,0
143,chainWM,1.6,0.0001,0.2,0,,,1,11.030712281972544,0,extinction,0,0
144,chainWM,1.6,0.0001,0.2,0,,,1,11.171982554571223,0,extinction,0,0
145,chainWM,1.6,0.0001,0.2,0,,,1,10.11259257813276,0,extinction,0,0
146,chainWM,1.6,0.0001,0.2,0,,,1,9.49319441507193,0,extinction,0,0
147,chainWM,1.6,0.0001,0.2,0,,,1,11.441123158890372,0,extinction,0,0
148,chainWM,1.6,0.0001,0.2,0,,,1,16.215624033576997,0,extinction,0,1
149,chainWM,1.6,0.0001,0.2,0,,,1,14.468013916429769,0,extinction,0,0
150,chainWM,1.6,0.0001,0.2,0,,,1,9.69497176727085,0,extinction,0,0
151,chainWM,1.6,0.0001,0.2,0,,,1,7.9253277890369285,0,extinction,0,0
152,chainWM,1.6,0.0001,0.2,0,,,1,10.872714794311431,0,extinction,0,0
153,chainWM,1.6,0.0001,0.2,0,,,1,9.662395214199313,0,extinction,0,0
154,chainWM,1.6,0.0001,0.2,0,,,1,10.660995469497045,0,extinction,0,0
