seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,biofilm,1.6,0.0001,0.2,0,,,1,21.349237021945648,0,extinction,0,0
1,biofilm,1.6,0.0001,0.2,0,,,1,20.955621556608705,0,extinction,0,0
2,biofilm,1.6,0.0001,0.2,0,,,1,22.11126720757569,0,extinction,0,0
3,biofilm,1.6,0.0001,0.2,0,,,1,26.954939632977762,0,extinction,1,1
4,biofilm,1.6,0.0001,0.2,0,,,1,22.446793210015894,0,extinction,0,0
5,biofilm,1.6,0.0001,0.2,0,,,1,21.110307187338147,0,extinction,0,1
6,biofilm,1.6,0.0001,0.2,0,,,1,21.358773695955637,0,extinction,0,0
7,biofilm,1.6,0.0001,0.2,0,,,1,22.659036095968606,0,extinction,0,0
8,biofilm,1.6,0.0001,0.2,0,,,1,15.897664713027321,0,extinction,0,0
9,biofilm,1.6,0.0001,0.2,1,12.703698844348525,edge,0,,206,rescue,0,1
10,biofilm,1.6,0.0001,0.2,1,13.654248421972559,core,0,,127,rescue,1,0
11,biofilm,1.6,0.0001,0.2,0,,,1,21.22455879047062,0,extinction,1,0
12,biofilm,1.6,0.0001,0.2,0,,,1,18.95588665805465,0,extinction,2,0
13,biofilm,1.6,0.0001,0.2,0,,,1,20.85056105204884,0,extinction,0,0
14,biofilm,1.6,0.0001,0.2,0,,,1,19.50536660469146,0,extinction,0,0
15,biofilm,1.6,0.0001,0.2,0,,,1,23.23326025057134,0,extinction,0,0
16,biofilm,1.6,0.0001,0.2,0,,,1,22.65624737020499,0,extinction,0,1
17,biofilm,1.6,0.0001,0.2,0,,,1,23.23590792222036,0,extinction,1,0
18,biofilm,1.6,0.0001,0.2,0,,,1,18.85562084472195,0,extinction,0,1
19,biofilm,1.6,0.0001,0.2,0,,,1,21.16721415235446,0,extinction,0,0
20,biofilm,1.6,0.0001,0.2,0,,,1,20.512519009132195,0,extinction,0,1
21,biofilm,1.6,0.0001,0.2,0,,,1,16.788194814914718,0,extinction,0,0
22,biofilm,1.6,0.0001,0.2,0,,,1,20.01772041984365,0,extinction,0,0
23,biofilm,1.6,0.0001,0.2,0,,,1,20.46674569046941,0,extinction,0,1
24,biofilm,1.6,0.0001,0.2,0,,,1,20.55269773920176,0,extinction,0,0
25,biofilm,1.6,0.0001,0.2,0,,,1,19.639349130823938,0,extinction,0,0
26,biofilm,1.6,0.0001,0.2,0,,,1,19.477564134230917,0,extinction,1,0
27,biofilm,1.6,0.0001,0.2,0,,,1,21.415874706571625,0,extinction,0,0
28,biofilm,1.6,0.0001,0.2,0,,,1,19.34146969766559,0,extinction,0,1
29,biofilm,1.6,0.0001,0.2,0,,,1,19.729640738854656,0,extinction,0,0
30,biofilm,1.6,0.0001,0.2,0,,,1,24.045488186213536,0,extinction,0,0
31,biofilm,1.6,0.0001,0.2,0,,,1,22.5180527923261,0,extinction,0,0
32,biofilm,1.6,0.0001,0.2,0,,,1,23.62529392708187,0,extinction,0,1
33,biofilm,1.6,0.0001,0.2,0,,,1,22.675103487461477,0,extinction,0,0
34,biofilm,1.6,0.0001,0.2,0,,,1,21.67614700121271,0,extinction,0,1
35,biofilm,1.6,0.0001,0.2,0,,,1,21.073546605841585,0,extinction,0,0
36,biofilm,1.6,0.0001,0.2,0,,,1,22.516351509469946,0,extinction,0,0
37,biofilm,1.6,0.0001,0.2,0,,,1,22.166850681032237,0,extinction,0,0
