seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,chainWM,2.3,0.0001,0.2,0,,,1,4.642909442591515,0,extinction,0,0
1,chainWM,2.3,0.0001,0.2,0,,,1,4.911800170393943,0,extinction,0,0
2,chainWM,2.3,0.0001,0.2,0,,,1,5.122757806391966,0,extinction,0,0
3,chainWM,2.3,0.0001,0.2,0,,,1,6.138226170917473,0,extinction,0,0
4,chainWM,2.3,0.0001,0.2,0,,,1,4.351410710196819,0,extinction,0,0
5,chainWM,2.3,0.0001,0.2,0,,,1,4.1750919594228595,0,extinction,0,0
6,chainWM,2.3,0.0001,0.2,0,,,1,5.222352967642311,0,extinction,0,0
7,chainWM,2.3,0.0001,0.2,0,,,1,4.132639161255638,0,extinction,0,0
8,chainWM,2.3,0.0001,0.2,0,,,1,4.317629011360504,0,extinction,0,0
9,chainWM,2.3,0.0001,0.2,0,,,1,5.315447778222472,0,extinction,0,0
10,chainWM,2.3,0.0001,0.2,0,,,1,4.218973097488033,0,extinction,0,0
11,chainWM,2.3,0.0001,0.2,0,,,1,5.8534983153360125,0,extinction,0,0
12,chainWM,2.3,0.0001,0.2,0,,,1,5.108504661701959,0,extinction,0,0
13,chainWM,2.3,0.0001,0.2,0,,,1,4.251452970563527,0,extinction,0,0
14,chainWM,2.3,0.0001,0.2,0,,,1,4.7269157676731846,0,extinction,0,0
15,chainWM,2.3,0.0001,0.2,0,,,1,5.542484597541216,0,extinction,0,0
16,chainWM,2.3,0.0001,0.2,0,,,1,5.9210139017109835,0,extinction,0,0
17,chainWM,2.3,0.0001,0.2,1,2.2862222988286014,edge,0,,46,rescue,0,1
18,chainWM,2.3,0.0001,0.2,0,,,1,4.334160158693355,0,extinction,0,0
19,chainWM,2.3,0.0001,0.2,0,,,1,5.85899446264979,0,extinction,0,0
20,chainWM,2.3,0.0001,0.2,0,,,1,4.851393578346805,0,extinction,0,0
21,chainWM,2.3,0.0001,0.2,0,,,1,5.174969515734031,0,extinction,0,0
22,chainWM,2.3,0.0001,0.2,0,,,1,4.173190423227571,0,extinction,0,0
23,chainWM,2.3,0.0001,0.2,0,,,1,8.038624319661926,0,extinction,0,0
24,chainWM,2.3,0.0001,0.2,0,,,1,3.801546702334363,0,extinction,0,0
25,chainWM,2.3,0.0001,0.2,0,,,1,4.30626391337982,0,extinction,0,0
26,chainWM,2.3,0.0001,0.2,0,,,1,6.241441236161478,0,extinction,0,1
27,chainWM,2.3,0.0001,0.2,0,,,1,5.034119622821008,0,extinction,0,0
28,chainWM,2.3,0.0001,0.2,0,,,1,4.697161908757884,0,extinction,0,0
29,chainWM,2.3,0.0001,0.2,0,,,1,7.862673735478205,0,extinction,0,0
30,chainWM,2.3,0.0001,0.2,0,,,1,4.925957140537415,0,extinction,0,0
31,chainWM,2.3,0.0001,0.2,0,,,1,4.782090921071606,0,extinction,0,0
32,chainWM,2.3,0.0001,0.2,0,,,1,5.036989220915386,0,extinction,0,0
33,chainWM,2.3,0.0001,0.2,0,,,1,4.049396517239357,0,extinction,0,1
34,chainWM,2.3,0.0001,0.2,0,,,1,5.6892065288205504,0,extinction,0,0
35,chainWM,2.3,0.0001,0.2,0,,,1,6.430857911494989,0,extinction,0,0
36,chainWM,2.3,0.0001,0.2,0,,,1,4.874670992304701,0,extinction,0,0
37,chainWM,2.3,0.0001,0.2,0,,,1,5.668549263478589,0,extinction,0,0
38,chainWM,2.3,0.0001,0.2,0,,,1,4.9652215901734875,0,extinction,0,0
39,chainWM,2.3,0.0001,0.2,0,,,1,7.008960141661084,0,extinction,0,0
40,chainWM,2.3,0.0001,0.2,0,,,1,4.923823085774094,0,extinction,0,0
41,chainWM,2.3,0.0001,0.2,0,,,1,4.697190513685551,0,extinction,0,0
42,chainWM,2.3,0.0001,0.2,0,,,1,4.7735017346836806,0,extinction,0,0
43,chainWM,2.3,0.0001,0.2,0,,,1,5.539770920996792,0,extinction,0,0
44,chainWM,2.3,0.0001,0.2,0,,,1,4.1996116275104,0,extinction,0,0
45,chainWM,2.3,0.0001,0.2,0,,,1,5.697706039467644,0,extinction,0,0
46,chainWM,2.3,0.0001,0.2,0,,,1,5.4867366534237405,0,extinction,0,0
47,chainWM,2.3,0.0001,0.2,1,4.031184128931351,edge,0,,19,rescue,0,1
48,chainWM,2.3,0.0001,0.2,0,,,1,5.477938595874211,0,extinction,0,0
49,chainWM,2.3,0.0001,0.2,0,,,1,5.187305066600572,0,extinction,0,0
50,chainWM,2.3,0.0001,0.2,0,,,1,4.85163315654686,0,extinction,0,0
51,chainWM,2.3,0.0001,0.2,0,,,1,4.148919132494745,0,extinction,0,0
52,chainWM,2.3,0.0001,0.2,0,,,1,6.196091588596372,0,extinction,0,0
53,chainWM,2.3,0.0001,0.2,0,,,1,6.085116999405393,0,extinction,0,1
54,chainWM,2.3,0.0001,0.2,0,,,1,4.956480127858457,0,extinction,0,0
55,chainWM,2.3,0.0001,0.2,0,,,1,4.7195571669306515,0,extinction,0,0
56,chainWM,2.3,0.0001,0.2,0,,,1,4.716785075875289,0,extinction,0,0
57,chainWM,2.3,0.0001,0.2,0,,,1,4.358165557261505,0,extinction,0,0
58,chainWM,2.3,0.0001,0.2,0,,,1,7.587020264641373,0,extinction,0,0
59,chainWM,2.3,0.0001,0.2,0,,,1,4.333795137699881,0,extinction,0,0
60,chainWM,2.3,0.0001,0.2,0,,,1,4.519162788359237,0,extinction,0,0
61,chainWM,2.3,0.0001,0.2,0,,,1,5.909017761733235,0,extinction,0,0
62,chainWM,2.3,0.0001,0.2,1,8.080637203313518,edge,0,,10,rescue,0,1
63,chainWM,2.3,0.0001,0.2,0,,,1,5.833740878862742,0,extinction,0,0
64,chainWM,2.3,0.0001,0.2,0,,,1,4.890277910842781,0,extinction,0,1
65,chainWM,2.3,0.0001,0.2,0,,,1,5.299031835630029,0,extinction,0,0
66,chainWM,2.3,0.0001,0.2,0,,,1,4.331500445144086,0,extinction,0,0
67,chainWM,2.3,0.0001,0.2,0,,,1,4.079510399659007,0,extinction,0,0
68,chainWM,2.3,0.0001,0.2,0,,,1,4.673663797299381,0,extinction,0,0
69,chainWM,2.3,0.0001,0.2,0,,,1,6.336537736883744,0,extinction,0,0
70,chainWM,2.3,0.0001,0.2,0,,,1,4.667731565433147,0,extinction,0,0
71,chainWM,2.3,0.0001,0.2,0,,,1,4.448973471836705,0,extinction,0,1
72,chainWM,2.3,0.0001,0.2,0,,,1,4.987998060683001,0,extinction,0,0
73,chainWM,2.3,0.0001,0.2,0,,,1,4.541668036318985,0,extinction,0,0
74,chainWM,2.3,0.0001,0.2,0,,,1,5.023797783310798,0,extinction,0,0
75,chainWM,2.3,0.0001,0.2,0,,,1,5.704258130758242,0,extinction,0,0
76,chainWM,2.3,0.0001,0.2,0,,,1,5.906921685207568,0,extinction,0,0
77,chainWM,2.3,0.0001,0.2,0,,,1,5.038523420130494,0,extinction,0,0
78,chainWM,2.3,0.0001,0.2,0,,,1,5.124406532025713,0,extinction,0,0
79,chainWM,2.3,0.0001,0.2,0,,,1,6.412768149235509,0,extinction,0,0
80,chainWM,2.3,0.0001,0.2,0,,,1,4.7975909957268215,0,extinction,0,0
81,chainWM,2.3,0.0001,0.2,0,,,1,5.339551906718302,0,extinction,0,0
82,chainWM,2.3,0.0001,0.2,0,,,1,5.252444708353551,0,extinction,0,0
83,chainWM,2.3,0.0001,0.2,0,,,1,5.015035611185653,0,extinction,0,0
84,chainWM,2.3,0.0001,0.2,0,,,1,4.212848518486286,0,extinction,0,0
85,chainWM,2.3,0.0001,0.2,0,,,1,4.080144767783268,0,extinction,0,0
86,chainWM,2.3,0.0001,0.2,0,,,1,6.3348434580364374,0,extinction,0,0
87,chainWM,2.3,0.0001,0.2,0,,,1,4.214304357250436,0,extinction,0,0
88,chainWM,2.3,0.0001,0.2,0,,,1,5.554195011278519,0,extinction,0,0
