seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,biofilm,1.2,0.0001,0.2,1,44.38595250484164,edge,0,,158,rescue,0,1
1,biofilm,1.2,0.0001,0.2,0,,,1,59.354068988462345,0,extinction,0,0
2,biofilm,1.2,0.0001,0.2,0,,,1,55.87058759942204,0,extinction,0,0
3,biofilm,1.2,0.0001,0.2,0,,,1,86.7493206939148,0,extinction,1,0
4,biofilm,1.2,0.0001,0.2,0,,,1,67.40501555694881,0,extinction,0,0
5,biofilm,1.2,0.0001,0.2,1,5.237176806712058,core,0,,871,rescue,1,0
6,biofilm,1.2,0.0001,0.2,0,,,1,60.02074985495783,0,extinction,0,0
7,biofilm,1.2,0.0001,0.2,0,,,1,62.559522210198715,0,extinction,0,0
8,biofilm,1.2,0.0001,0.2,0,,,1,46.451747590617046,0,extinction,0,0
9,biofilm,1.2,0.0001,0.2,0,,,1,65.90519182505034,0,extinction,0,0
10,biofilm,1.2,0.0001,0.2,0,,,1,61.16019533258005,0,extinction,1,0
11,biofilm,1.2,0.0001,0.2,0,,,1,57.405344029479984,0,extinction,1,1
12,biofilm,1.2,0.0001,0.2,1,17.553760253362533,edge,0,,584,rescue,1,1
13,biofilm,1.2,0.0001,0.2,0,,,1,55.84916508338311,0,extinction,1,0
14,biofilm,1.2,0.0001,0.2,0,,,1,72.85205389034198,0,extinction,2,0
15,biofilm,1.2,0.0001,0.2,0,,,1,57.9689454558025,0,extinction,0,0
16,biofilm,1.2,0.0001,0.2,1,22.513377982969562,edge,0,,470,rescue,0,1
17,biofilm,1.2,0.0001,0.2,1,17.640350063747533,edge,0,,651,rescue,2,1
18,biofilm,1.2,0.0001,0.2,0,,,1,56.995811744923806,0,extinction,0,0
19,biofilm,1.2,0.0001,0.2,1,28.498660159861405,core,0,,190,rescue,1,2
20,biofilm,1.2,0.0001,0.2,1,42.14650489806803,edge,0,,223,rescue,0,3
21,biofilm,1.2,0.0001,0.2,1,13.812627713059822,edge,0,,649,rescue,0,1
22,biofilm,1.2,0.0001,0.2,0,,,1,63.18141398295719,0,extinction,0,0
23,biofilm,1.2,0.0001,0.2,0,,,1,59.21473851145747,0,extinction,0,1
24,biofilm,1.2,0.0001,0.2,0,,,1,58.23732343995559,0,extinction,0,1
25,biofilm,1.2,0.0001,0.2,0,,,1,69.85803062229255,0,extinction,0,1
26,biofilm,1.2,0.0001,0.2,1,37.64621093035858,core,0,,62,rescue,1,0
27,biofilm,1.2,0.0001,0.2,0,,,1,71.92631004759807,0,extinction,0,0
28,biofilm,1.2,0.0001,0.2,0,,,1,51.19538702878837,0,extinction,1,0
29,biofilm,1.2,0.0001,0.2,0,,,1,57.413956106284736,0,extinction,0,0
30,biofilm,1.2,0.0001,0.2,0,,,1,52.555155955776314,0,extinction,0,0
31,biofilm,1.2,0.0001,0.2,0,,,1,57.14680777691085,0,extinction,0,0
32,biofilm,1.2,0.0001,0.2,0,,,1,71.83640804658422,0,extinction,1,1
33,biofilm,1.2,0.0001,0.2,0,,,1,61.454478771750985,0,extinction,0,0
34,biofilm,1.2,0.0001,0.2,0,,,1,65.96331077398716,0,extinction,0,0
35,biofilm,1.2,0.0001,0.2,0,,,1,90.65320049414014,0,extinction,0,0
36,biofilm,1.2,0.0001,0.2,0,,,1,64.29080415965018,0,extinction,0,0
37,biofilm,1.2,0.0001,0.2,0,,,1,57.80000598495038,0,extinction,0,0
38,biofilm,1.2,0.0001,0.2,0,,,1,62.03324977899815,0,extinction,1,0
39,biofilm,1.2,0.0001,0.2,0,,,1,56.92368144432522,0,extinction,0,0
40,biofilm,1.2,0.0001,0.2,0,,,1,45.70889377673164,0,extinction,0,1
41,biofilm,1.2,0.0001,0.2,1,10.166503594934387,edge,0,,720,rescue,0,1
42,biofilm,1.2,0.0001,0.2,0,,,1,48.20262532484068,0,extinction,0,0
43,biofilm,1.2,0.0001,0.2,0,,,1,69.5433567266507,0,extinction,0,0
44,biofilm,1.2,0.0001,0.2,0,,,1,60.4196230072731,0,extinction,0,0
45,biofilm,1.2,0.0001,0.2,0,,,1,62.9192786793661,0,extinction,0,0
46,biofilm,1.2,0.0001,0.2,0,,,1,59.99016959787868,0,extinction,0,0
47,biofilm,1.2,0.0001,0.2,1,19.08556930537448,edge,0,,579,rescue,0,1
48,biofilm,1.2,0.0001,0.2,0,,,1,50.549141609320685,0,extinction,0,0
49,biofilm,1.2,0.0001,0.2,1,52.08966121072335,edge,0,,79,rescue,0,2
50,biofilm,1.2,0.0001,0.2,0,,,1,48.170734484200075,0,extinction,0,1
51,biofilm,1.2,0.0001,0.2,0,,,1,61.55903432908633,0,extinction,1,0
52,biofilm,1.2,0.0001,0.2,0,,,1,55.20489010276677,0,extinction,2,0
53,biofilm,1.2,0.0001,0.2,1,12.775862301120881,edge,0,,788,rescue,2,1
54,biofilm,1.2,0.0001,0.2,0,,,1,80.80078473286986,0,extinction,0,0
55,biofilm,1.2,0.0001,0.2,0,,,1,74.61823688041743,0,extinction,2,0
56,biofilm,1.2,0.0001,0.2,0,,,1,50.2889040532986,0,extinction,0,0
57,biofilm,1.2,0.0001,0.2,0,,,1,47.135957381507374,0,extinction,0,0
58,biofilm,1.2,0.0001,0.2,0,,,1,59.054437648422024,0,extinction,0,1
59,biofilm,1.2,0.0001,0.2,1,46.0565580680881,core,0,,77,rescue,2,0
60,biofilm,1.2,0.0001,0.2,0,,,1,67.3711443453201,0,extinction,1,0
61,biofilm,1.2,0.0001,0.2,0,,,1,70.52244729989663,0,extinction,0,0
62,biofilm,1.2,0.0001,0.2,0,,,1,68.56829315841277,0,extinction,0,1
63,biofilm,1.2,0.0001,0.2,1,25.058094240847595,edge,0,,574,rescue,0,1
64,biofilm,1.2,0.0001,0.2,1,28.165381815556003,core,0,,349,rescue,2,0
65,biofilm,1.2,0.0001,0.2,0,,,1,52.51440347793411,0,extinction,0,0
66,biofilm,1.2,0.0001,0.2,0,,,1,49.804411263069866,0,extinction,0,0
67,biofilm,1.2,0.0001,0.2,0,,,1,72.89464817398179,0,extinction,1,0
68,biofilm,1.2,0.0001,0.2,1,19.10383737279606,edge,0,,762,rescue,0,1
69,biofilm,1.2,0.0001,0.2,0,,,1,53.34690364542515,0,extinction,1,0
70,biofilm,1.2,0.0001,0.2,0,,,1,67.07959790975475,0,extinction,0,1
71,biofilm,1.2,0.0001,0.2,0,,,1,67.52894276036757,0,extinction,0,1
