seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
71,biofilm,1.05,0.0001,0.2,1,11.09219176908026,edge,0,,1015,rescue,0,1
72,biofilm,1.05,0.0001,0.2,0,,,0,,377,maxTime,0,2
73,biofilm,1.05,0.0001,0.2,0,,,0,,106,maxTime,4,1
74,biofilm,1.05,0.0001,0.2,1,16.308510350000496,edge,0,,908,rescue,0,2
75,biofilm,1.05,0.0001,0.2,1,41.11096191314533,edge,0,,807,rescue,0,2
76,biofilm,1.05,0.0001,0.2,1,114.80155114362276,core,0,,215,rescue,2,1
77,biofilm,1.05,0.0001,0.2,1,105.2411156554108,core,0,,311,rescue,2,0
78,biofilm,1.05,0.0001,0.2,1,64.14123753041792,edge,0,,488,rescue,2,1
79,biofilm,1.05,0.0001,0.2,0,,,0,,221,maxTime,2,3
80,biofilm,1.05,0.0001,0.2,0,,,1,137.21118430604864,0,extinction,1,0
81,biofilm,1.05,0.0001,0.2,0,,,0,,61,maxTime,2,1
82,biofilm,1.05,0.0001,0.2,0,,,0,,211,maxTime,1,0
83,biofilm,1.05,0.0001,0.2,0,,,1,143.54459695906527,0,extinction,0,0
84,biofilm,1.05,0.0001,0.2,1,174.88460097024728,edge,0,,116,rescue,1,1
85,biofilm,1.05,0.0001,0.2,1,64.60373412548891,core,0,,567,rescue,2,1
86,biofilm,1.05,0.0001,0.2,1,68.2957976984769,core,0,,606,rescue,1,0
87,biofilm,1.05,0.0001,0.2,1,188.2704267223605,edge,0,,137,rescue,1,3
88,biofilm,1.05,0.0001,0.2,1,86.44667715323057,edge,0,,514,rescue,1,1
89,biofilm,1.05,0.0001,0.2,0,,,0,,370,maxTime,1,0
90,biofilm,1.05,0.0001,0.2,1,52.38099808496932,edge,0,,917,rescue,0,2
91,biofilm,1.05,0.0001,0.2,1,13.624210915042108,core,0,,1116,rescue,2,0
92,biofilm,1.05,0.0001,0.2,1,62.06663491396208,edge,0,,760,rescue,0,2
93,biofilm,1.05,0.0001,0.2,1,39.26695398132159,edge,0,,793,rescue,0,3
94,biofilm,1.05,0.0001,0.2,1,64.03518497343221,edge,0,,898,rescue,1,2
95,biofilm,1.05,0.0001,0.2,0,,,1,133.33439680099744,0,extinction,1,1
96,biofilm,1.05,0.0001,0.2,1,176.87163506210416,edge,0,,524,rescue,4,2
97,biofilm,1.05,0.0001,0.2,1,156.5280313084949,edge,0,,479,rescue,3,2
98,biofilm,1.05,0.0001,0.2,1,31.1238233353588,edge,0,,774,rescue,0,1
99,biofilm,1.05,0.0001,0.2,1,86.12956902054302,edge,0,,340,rescue,0,1
100,biofilm,1.05,0.0001,0.2,1,5.834011049091984,edge,0,,979,rescue,0,1
101,biofilm,1.05,0.0001,0.2,1,106.93905361575784,edge,0,,551,rescue,2,1
102,biofilm,1.05,0.0001,0.2,0,,,0,,344,maxTime,3,0
103,biofilm,1.05,0.0001,0.2,1,77.91303788175348,edge,0,,754,rescue,0,2
104,biofilm,1.05,0.0001,0.2,1,11.553856287883717,edge,0,,920,rescue,1,1
105,biofilm,1.05,0.0001,0.2,0,,,0,,164,maxTime,1,1
106,biofilm,1.05,0.0001,0.2,1,46.802767371070274,edge,0,,976,rescue,0,1
107,biofilm,1.05,0.0001,0.2,1,72.01405424992772,core,0,,443,rescue,3,0
108,biofilm,1.05,0.0001,0.2,0,,,0,,6,maxTime,0,0
109,biofilm,1.05,0.0001,0.2,1,19.59356072265256,edge,0,,839,rescue,0,1
110,biofilm,1.05,0.0001,0.2,0,,,1,98.5931901257895,0,extinction,1,1
111,biofilm,1.05,0.0001,0.2,0,,,1,191.2953383009569,0,extinction,2,0
112,biofilm,1.05,0.0001,0.2,0,,,1,165.4623411809077,0,extinction,1,3
113,biofilm,1.05,0.0001,0.2,1,15.102221926663994,edge,0,,923,rescue,0,2
114,biofilm,1.05,0.0001,0.2,0,,,0,,17,maxTime,5,1
115,biofilm,1.05,0.0001,0.2,0,,,0,,15,maxTime,1,2
116,biofilm,1.05,0.0001,0.2,1,67.20514073612615,edge,0,,446,rescue,1,2
117,biofilm,1.05,0.0001,0.2,1,10.299816053631314,edge,0,,977,rescue,0,1
118,biofilm,1.05,0.0001,0.2,1,10.121247090761464,edge,0,,985,rescue,0,1
119,biofilm,1.05,0.0001,0.2,1,185.2458408761634,edge,0,,389,rescue,4,3
120,biofilm,1.05,0.0001,0.2,0,,,1,196.31765949290283,0,extinction,1,0
121,biofilm,1.05,0.0001,0.2,1,49.60833322450127,edge,0,,677,rescue,0,3
122,biofilm,1.05,0.0001,0.2,1,191.8848332679072,core,0,,197,rescue,2,1
123,biofilm,1.05,0.0001,0.2,0,,,0,,381,maxTime,2,1
124,biofilm,1.05,0.0001,0.2,0,,,1,165.55055142216477,0,extinction,0,0
125,biofilm,1.05,0.0001,0.2,1,192.47181369982192,core,0,,149,rescue,2,2
126,biofilm,1.05,0.0001,0.2,1,178.91627697987855,core,0,,125,rescue,3,0
127,biofilm,1.05,0.0001,0.2,1,90.59515265688844,edge,0,,592,rescue,2,2
128,biofilm,1.05,0.0001,0.2,1,163.8506284629262,edge,0,,51,rescue,2,4
129,biofilm,1.05,0.0001,0.2,1,43.88290405568055,edge,0,,914,rescue,1,2
130,biofilm,1.05,0.0001,0.2,1,122.97826260838896,core,0,,266,rescue,3,5
131,biofilm,1.05,0.0001,0.2,0,,,0,,129,maxTime,1,0
132,biofilm,1.05,0.0001,0.2,1,67.69945455815446,edge,0,,495,rescue,0,1
133,biofilm,1.05,0.0001,0.2,0,,,0,,233,maxTime,2,2
134,biofilm,1.05,0.0001,0.2,0,,,0,,31,maxTime,2,1
135,biofilm,1.05,0.0001,0.2,1,142.2543230480712,core,0,,237,rescue,3,1
136,biofilm,1.05,0.0001,0.2,1,154.6354582525575,edge,0,,124,rescue,1,3
137,biofilm,1.05,0.0001,0.2,0,,,0,,151,maxTime,1,1
138,biofilm,1.05,0.0001,0.2,1,41.377149169311664,edge,0,,767,rescue,1,1
139,biofilm,1.05,0.0001,0.2,1,14.955933485654093,edge,0,,1132,rescue,0,1
140,biofilm,1.05,0.0001,0.2,1,116.48369931846372,edge,0,,368,rescue,1,1
141,biofilm,1.05,0.0001,0.2,1,60.014892737440746,core,0,,224,rescue,1,0
142,biofilm,1.05,0.0001,0.2,1,17.684301695318954,edge,0,,765,rescue,0,1
