seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,biofilm,1.4,0.0001,0.2,0,,,1,32.11012859560141,0,extinction,0,0
1,biofilm,1.4,0.0001,0.2,0,,,1,30.0756072928095,0,extinction,0,0
2,biofilm,1.4,0.0001,0.2,0,,,1,33.68948633354212,0,extinction,0,0
3,biofilm,1.4,0.0001,0.2,1,7.877443525088216,core,0,,728,rescue,1,0
4,biofilm,1.4,0.0001,0.2,0,,,1,34.21054274793663,0,extinction,0,0
5,biofilm,1.4,0.0001,0.2,0,,,1,30.419690775104534,0,extinction,1,0
6,biofilm,1.4,0.0001,0.2,0,,,1,30.545679896310613,0,extinction,0,0
7,biofilm,1.4,0.0001,0.2,0,,,1,28.626370089934664,0,extinction,0,0
8,biofilm,1.4,0.0001,0.2,0,,,1,25.142473190885617,0,extinction,0,0
9,biofilm,1.4,0.0001,0.2,0,,,1,35.83205161602376,0,extinction,0,2
10,biofilm,1.4,0.0001,0.2,1,22.945207261787683,core,0,,135,rescue,1,0
11,biofilm,1.4,0.0001,0.2,0,,,1,37.040302985246555,0,extinction,1,1
12,biofilm,1.4,0.0001,0.2,1,18.48869490434098,edge,0,,255,rescue,1,1
13,biofilm,1.4,0.0001,0.2,0,,,1,32.865036426790674,0,extinction,0,0
14,biofilm,1.4,0.0001,0.2,0,,,1,37.707271476665,0,extinction,0,1
15,biofilm,1.4,0.0001,0.2,0,,,1,38.131708864903366,0,extinction,0,0
16,biofilm,1.4,0.0001,0.2,0,,,1,36.663151544750896,0,extinction,0,0
17,biofilm,1.4,0.0001,0.2,0,,,1,30.632598717094538,0,extinction,2,0
18,biofilm,1.4,0.0001,0.2,0,,,1,35.58806149401859,0,extinction,0,0
19,biofilm,1.4,0.0001,0.2,0,,,1,29.13296482203306,0,extinction,0,2
20,biofilm,1.4,0.0001,0.2,0,,,1,29.31360098352954,0,extinction,0,1
21,biofilm,1.4,0.0001,0.2,0,,,1,27.094767437764933,0,extinction,0,0
22,biofilm,1.4,0.0001,0.2,0,,,1,33.125870531020055,0,extinction,0,0
23,biofilm,1.4,0.0001,0.2,0,,,1,46.95697077305977,0,extinction,1,1
24,biofilm,1.4,0.0001,0.2,0,,,1,31.25288031522966,0,extinction,0,0
25,biofilm,1.4,0.0001,0.2,0,,,1,28.317461278080117,0,extinction,0,1
26,biofilm,1.4,0.0001,0.2,0,,,1,30.263811260115297,0,extinction,1,0
27,biofilm,1.4,0.0001,0.2,0,,,1,31.51067339090775,0,extinction,0,0
28,biofilm,1.4,0.0001,0.2,1,18.350876301737166,core,0,,270,rescue,1,0
29,biofilm,1.4,0.0001,0.2,0,,,1,28.82956741291239,0,extinction,0,0
30,biofilm,1.4,0.0001,0.2,0,,,1,27.831038997427154,0,extinction,0,0
31,biofilm,1.4,0.0001,0.2,0,,,1,36.325553565225626,0,extinction,0,0
