seed,condition,dose,mu,bCoreRatio,rescued,rescueTime,rescueMode,extinct,extinctionTime,finalN,terminationReason,nMutCore,nMutEdge
0,biofilm,1.9,0.0001,0.2,0,,,1,15.122989969821115,0,extinction,0,0
1,biofilm,1.9,0.0001,0.2,0,,,1,16.11976316981122,0,extinction,0,0
2,biofilm,1.9,0.0001,0.2,0,,,1,13.87898216907457,0,extinction,0,0
3,biofilm,1.9,0.0001,0.2,0,,,1,14.643150630171267,0,extinction,0,1
4,biofilm,1.9,0.0001,0.2,0,,,1,17.8780351355231,0,extinction,0,0
5,biofilm,1.9,0.0001,0.2,1,13.83716545658095,edge,0,,10,rescue,0,2
6,biofilm,1.9,0.0001,0.2,0,,,1,17.08009653252664,0,extinction,0,0
7,biofilm,1.9,0.0001,0.2,0,,,1,15.545796808490035,0,extinction,0,0
8,biofilm,1.9,0.0001,0.2,0,,,1,11.659402881196822,0,extinction,0,0
9,biofilm,1.9,0.0001,0.2,0,,,1,15.508098434746257,0,extinction,0,1
10,biofilm,1.9,0.0001,0.2,0,,,1,13.688148138315384,0,extinction,0,1
11,biofilm,1.9,0.0001,0.2,1,11.195226259718877,core,0,,49,rescue,1,0
12,biofilm,1.9,0.0001,0.2,0,,,1,19.628853828208072,0,extinction,1,0
13,biofilm,1.9,0.0001,0.2,0,,,1,16.66241141233281,0,extinction,0,0
14,biofilm,1.9,0.0001,0.2,0,,,1,13.76285846442251,0,extinction,0,0
15,biofilm,1.9,0.0001,0.2,0,,,1,15.78102283088838,0,extinction,0,0
16,biofilm,1.9,0.0001,0.2,0,,,1,15.66917741346909,0,extinction,0,0
17,biofilm,1.9,0.0001,0.2,0,,,1,15.140385320116282,0,extinction,0,0
18,biofilm,1.9,0.0001,0.2,0,,,1,15.995980545127791,0,extinction,0,0
19,biofilm,1.9,0.0001,0.2,0,,,1,18.214152455811927,0,extinction,0,0
20,biofilm,1.9,0.0001,0.2,0,,,1,13.620829590127684,0,extinction,0,1
21,biofilm,1.9,0.0001,0.2,0,,,1,14.121811315683646,0,extinction,0,0
22,biofilm,1.9,0.0001,0.2,0,,,1,15.047768969339456,0,extinction,0,0
23,biofilm,1.9,0.0001,0.2,1,3.272986813332073,edge,0,,697,rescue,0,1
24,biofilm,1.9,0.0001,0.2,0,,,1,15.866624273920511,0,extinction,0,0
25,biofilm,1.9,0.0001,0.2,0,,,1,13.628230332551388,0,extinction,0,0
26,biofilm,1.9,0.0001,0.2,0,,,1,14.163322700830996,0,extinction,1,0
27,biofilm,1.9,0.0001,0.2,0,,,1,20.389681660241767,0,extinction,0,0
28,biofilm,1.9,0.0001,0.2,1,12.6486712207889,core,0,,10,rescue,1,0
29,biofilm,1.9,0.0001,0.2,0,,,1,15.480785069741636,0,extinction,0,0
30,biofilm,1.9,0.0001,0.2,0,,,1,13.29935563037498,0,extinction,0,0
31,biofilm,1.9,0.0001,0.2,0,,,1,13.288972851538777,0,extinction,0,0
32,biofilm,1.9,0.0001,0.2,1,8.549442258159257,edge,0,,275,rescue,0,1
33,biofilm,1.9,0.0001,0.2,0,,,1,16.945152229021716,0,extinction,0,0
34,biofilm,1.9,0.0001,0.2,0,,,1,22.477967632656366,0,extinction,1,1
35,biofilm,1.9,0.0001,0.2,0,,,1,18.60465538692984,0,extinction,0,0
36,biofilm,1.9,0.0001,0.2,0,,,1,13.405435019016746,0,extinction,0,0
37,biofilm,1.9,0.0001,0.2,0,,,1,14.385043975329355,0,extinction,0,0
38,biofilm,1.9,0.0001,0.2,0,,,1,13.824662782929254,0,extinction,1,0
39,biofilm,1.9,0.0001,0.2,0,,,1,15.532606501119014,0,extinction,0,0
40,biofilm,1.9,0.0001,0.2,0,,,1,15.36965666307018,0,extinction,0,0
41,biofilm,1.9,0.0001,0.2,0,,,1,13.688801003048804,0,extinction,0,0
42,biofilm,1.9,0.0001,0.2,0,,,1,13.150552001812546,0,extinction,0,0
43,biofilm,1.9,0.0001,0.2,0,,,1,15.829878901010321,0,extinction,0,0
44,biofilm,1.9,0.0001,0.2,0,,,1,20.34416555679602,0,extinction,0,0
45,biofilm,1.9,0.0001,0.2,0,,,1,13.28943292425355,0,extinction,0,0
46,biofilm,1.9,0.0001,0.2,0,,,1,13.869751331100357,0,extinction,0,0
47,biofilm,1.9,0.0001,0.2,0,,,1,13.320577345950229,0,extinction,0,0
48,biofilm,1.9,0.0001,0.2,0,,,1,12.993753383984863,0,extinction,0,0
49,biofilm,1.9,0.0001,0.2,0,,,1,14.887458953780783,0,extinction,0,0
50,biofilm,1.9,0.0001,0.2,0,,,1,13.613658959889175,0,extinction,0,0
51,biofilm,1.9,0.0001,0.2,0,,,1,13.720419709334708,0,extinction,0,0
52,biofilm,1.9,0.0001,0.2,0,,,1,15.034329528861257,0,extinction,0,0
53,biofilm,1.9,0.0001,0.2,0,,,1,13.853294369105232,0,extinction,1,0
54,biofilm,1.9,0.0001,0.2,0,,,1,15.529871193528567,0,extinction,0,0
55,biofilm,1.9,0.0001,0.2,0,,,1,14.213106160220077,0,extinction,0,0
56,biofilm,1.9,0.0001,0.2,0,,,1,16.10339539923827,0,extinction,0,0
57,biofilm,1.9,0.0001,0.2,0,,,1,14.718380425143602,0,extinction,0,0
58,biofilm,1.9,0.0001,0.2,0,,,1,14.297763629198034,0,extinction,0,0
59,biofilm,1.9,0.0001,0.2,0,,,1,13.241178162468046,0,extinction,0,0
60,biofilm,1.9,0.0001,0.2,0,,,1,12.709323047208205,0,extinction,0,0
61,biofilm,1.9,0.0001,0.2,0,,,1,15.398856500704806,0,extinction,0,0
62,biofilm,1.9,0.0001,0.2,0,,,1,14.023810339998688,0,extinction,0,1
63,biofilm,1.9,0.0001,0.2,0,,,1,16.62579448813979,0,extinction,0,0
64,biofilm,1.9,0.0001,0.2,0,,,1,13.333835405944532,0,extinction,1,0
65,biofilm,1.9,0.0001,0.2,0,,,1,15.108095492589733,0,extinction,0,1
66,biofilm,1.9,0.0001,0.2,0,,,1,14.194303808574478,0,extinction,0,0
67,biofilm,1.9,0.0001,0.2,0,,,1,15.677555835412353,0,extinction,0,0
68,biofilm,1.9,0.0001,0.2,0,,,1,14.82831621871875,0,extinction,0,0
69,biofilm,1.9,0.0001,0.2,0,,,1,14.450141378296028,0,extinction,0,0
70,biofilm,1.9,0.0001,0.2,0,,,1,18.019968652122962,0,extinction,0,0
71,biofilm,1.9,0.0001,0.2,0,,,1,14.317848341965949,0,extinction,0,0
72,biofilm,1.9,0.0001,0.2,0,,,1,13.726588716262436,0,extinction,0,0
73,biofilm,1.9,0.0001,0.2,0,,,1,16.121671888877422,0,extinction,0,0
74,biofilm,1.9,0.0001,0.2,0,,,1,15.678659947512125,0,extinction,0,0
75,biofilm,1.9,0.0001,0.2,0,,,1,15.687080444137552,0,extinction,0,0
76,biofilm,1.9,0.0001,0.2,0,,,1,15.204041737668714,0,extinction,1,0
77,biofilm,1.9,0.0001,0.2,0,,,1,17.233496282588767,0,extinction,0,0
78,biofilm,1.9,0.0001,0.2,0,,,1,16.360901976744195,0,extinction,0,1
79,biofilm,1.9,0.0001,0.2,0,,,1,14.451570884724527,0,extinction,0,0
80,biofilm,1.9,0.0001,0.2,0,,,1,14.726232151989297,0,extinction,0,0
81,biofilm,1.9,0.0001,0.2,0,,,1,14.900099760438788,0,extinction,0,0
82,biofilm,1.9,0.0001,0.2,0,,,1,14.811446554607311,0,extinction,0,0
83,biofilm,1.9,0.0001,0.2,0,,,1,13.079072619646206,0,extinction,0,0
84,biofilm,1.9,0.0001,0.2,0,,,1,15.361550861489631,0,extinction,0,0
85,biofilm,1.9,0.0001,0.2,0,,,1,14.889635933149075,0,extinction,0,0
86,biofilm,1.9,0.0001,0.2,0,,,1,16.657776823551334,0,extinction,0,0
